tensor(1.1355, device='cuda:0')
tensor(0.2306, device='cuda:0')
tensor(0.2281, device='cuda:0')
tensor(0.2334, device='cuda:0')
tensor(0.2359, device='cuda:0')
tensor(0.3423, device='cuda:0')
tensor(0.2322, device='cuda:0')
tensor(0.2516, device='cuda:0')
tensor(0.2222, device='cuda:0')
tensor(0.3386, device='cuda:0')
tensor(0.2179, device='cuda:0')
tensor(0.3575, device='cuda:0')
tensor(0.2188, device='cuda:0')
tensor(0.3012, device='cuda:0')
tensor(0.2963, device='cuda:0')
tensor(0.1892, device='cuda:0')
tensor(0.2545, device='cuda:0')
tensor(0.2559, device='cuda:0')
tensor(0.2726, device='cuda:0')
tensor(0.2821, device='cuda:0')
tensor(0.2300, device='cuda:0')
tensor(0.3573, device='cuda:0')
tensor(0.2764, device='cuda:0')
tensor(0.2507, device='cuda:0')
tensor(0.3415, device='cuda:0')
tensor(0.2072, device='cuda:0')
tensor(0.2824, device='cuda:0')
tensor(0.2222, device='cuda:0')
tensor(0.2863, device='cuda:0')
tensor(0.1794, device='cuda:0')
tensor(0.2801, device='cuda:0')
tensor(0.2291, device='cuda:0')
tensor(0.3045, device='cuda:0')
tensor(0.2276, device='cuda:0')
tensor(0.2232, device='cuda:0')
tensor(0.1777, device='cuda:0')
tensor(0.3363, device='cuda:0')
tensor(0.2192, device='cuda:0')
tensor(0.2221, device='cuda:0')
tensor(0.2279, device='cuda:0')
tensor(0.2918, device='cuda:0')
tensor(0.2407, device='cuda:0')
tensor(0.2979, device='cuda:0')
tensor(0.2369, device='cuda:0')
tensor(0.2152, device='cuda:0')
tensor(0.2187, device='cuda:0')
tensor(0.1933, device='cuda:0')
tensor(0.2946, device='cuda:0')
tensor(0.2575, device='cuda:0')
tensor(0.2775, device='cuda:0')
tensor(0.2509, device='cuda:0')
tensor(0.2866, device='cuda:0')
tensor(0.1989, device='cuda:0')
tensor(0.2175, device='cuda:0')
tensor(0.2207, device='cuda:0')
tensor(0.2167, device='cuda:0')
tensor(0.2424, device='cuda:0')
tensor(0.2844, device='cuda:0')
tensor(0.1925, device='cuda:0')
tensor(0.2161, device='cuda:0')
tensor(0.1786, device='cuda:0')
tensor(0.1977, device='cuda:0')
tensor(0.2809, device='cuda:0')
tensor(0.3242, device='cuda:0')
tensor(0.1971, device='cuda:0')
tensor(0.2175, device='cuda:0')
tensor(0.1863, device='cuda:0')
tensor(0.1738, device='cuda:0')
tensor(0.1886, device='cuda:0')
tensor(0.3177, device='cuda:0')
tensor(0.1893, device='cuda:0')
tensor(0.1617, device='cuda:0')
tensor(0.2000, device='cuda:0')
tensor(0.2100, device='cuda:0')
tensor(0.1878, device='cuda:0')
tensor(0.1966, device='cuda:0')
tensor(0.1807, device='cuda:0')
tensor(0.1986, device='cuda:0')
tensor(0.2842, device='cuda:0')
tensor(0.2704, device='cuda:0')
tensor(0.1636, device='cuda:0')
tensor(0.2003, device='cuda:0')
tensor(0.1600, device='cuda:0')
tensor(0.1913, device='cuda:0')
tensor(0.1948, device='cuda:0')
tensor(0.2473, device='cuda:0')
tensor(0.1835, device='cuda:0')
tensor(0.2000, device='cuda:0')
tensor(0.2214, device='cuda:0')
tensor(0.1672, device='cuda:0')
tensor(0.2069, device='cuda:0')
tensor(0.1698, device='cuda:0')
tensor(0.1945, device='cuda:0')
tensor(0.1600, device='cuda:0')
tensor(0.2010, device='cuda:0')
tensor(0.1924, device='cuda:0')
tensor(0.1572, device='cuda:0')
tensor(0.2347, device='cuda:0')
tensor(0.1810, device='cuda:0')
tensor(0.1814, device='cuda:0')
tensor(0.1786, device='cuda:0')
tensor(0.1751, device='cuda:0')
tensor(0.2161, device='cuda:0')
tensor(0.1632, device='cuda:0')
tensor(0.2287, device='cuda:0')
tensor(0.1693, device='cuda:0')
tensor(0.1567, device='cuda:0')
tensor(0.1899, device='cuda:0')
tensor(0.1876, device='cuda:0')
tensor(0.1626, device='cuda:0')
tensor(0.1704, device='cuda:0')
tensor(0.1540, device='cuda:0')
tensor(0.1736, device='cuda:0')
tensor(0.1854, device='cuda:0')
tensor(0.1886, device='cuda:0')
tensor(0.1383, device='cuda:0')
tensor(0.2055, device='cuda:0')
tensor(0.1821, device='cuda:0')
tensor(0.1352, device='cuda:0')
tensor(0.1921, device='cuda:0')
tensor(0.2059, device='cuda:0')
tensor(0.1545, device='cuda:0')
tensor(0.1852, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.1735, device='cuda:0')
tensor(0.2120, device='cuda:0')
tensor(0.2096, device='cuda:0')
tensor(0.1392, device='cuda:0')
tensor(0.1863, device='cuda:0')
tensor(0.1689, device='cuda:0')
tensor(0.1795, device='cuda:0')
tensor(0.1315, device='cuda:0')
tensor(0.1956, device='cuda:0')
tensor(0.1610, device='cuda:0')
tensor(0.1827, device='cuda:0')
tensor(0.1708, device='cuda:0')
tensor(0.2238, device='cuda:0')
tensor(0.2054, device='cuda:0')
tensor(0.2120, device='cuda:0')
tensor(0.1813, device='cuda:0')
tensor(0.1544, device='cuda:0')
tensor(0.1772, device='cuda:0')
tensor(0.1725, device='cuda:0')
tensor(0.1549, device='cuda:0')
